num,linecode,order,linename,name,id,nodecode,jcwith,x,y
73,30,12,DanjikYoungduk,남세종,NAMSEJONG,579,0,512.5,825
74,30,13,DanjikYoungduk,유성jc,YUSEONG,152,0,550,850
1,35,1,Joongbu,동서울,DONGSEOUL,190,0,530,200
2,35,2,Joongbu,산곡,SANGOK,,0,541.6666667,218.3333333
3,35,3,Joongbu,경기광주,GYEONGGIGWANGJU,191,0,553.3333333,236.6666667
4,35,4,Joongbu,곤지암,GONJIAM,192,0,565,255
5,35,5,Joongbu,서이천,SEOICHEON,194,0,576.6666667,273.3333333
6,35,6,Joongbu,마장,MAJANG,,0,588.3333333,291.6666667
7,35,7,Joongbu,호법jc,HOBUBJC,,50,600,310
8,35,8,Joongbu,일죽,ILJUK,193,0,600,370
9,35,9,Joongbu,대소,DAESO,195,0,600,430
10,35,10,Joongbu,대소jc,DAESOJC,,40,600,490
11,35,11,Joongbu,진천,JINCHEON,196,0,600,534
12,35,12,Joongbu,증평,JEUNGPYEONG,197,0,600,578
13,35,13,Joongbu,오창,OCHANG,199,0,600,622
14,35,14,Joongbu,서청주,SEOCHEONGJU,198,0,600,666
15,35,15,Joongbu,남이jc,NAMIJC,,1,600,710
16,35,16,Joongbu,청원jc,CHEONGWONJC,,0,600,740
17,35,17,Joongbu,청원,CHEONGWON,112,0,600,770
18,35,18,Joongbu,신탄진,SINTANJIN,113,0,600,800
19,35,19,Joongbu,회덕jc,HOIDUKJC,,0,600,830
38,40,1,PyungtaekJecheon,서평택jc,SEOPYONGTAEKJC,,15,240,420
56,40,2,PyungtaekJecheon,청북,CHEONGBUK,540,0,312.0512821,437.7435897
57,40,3,PyungtaekJecheon,송탄,SONGTANG,541,0,384.1025641,455.4871795
49,40,4,PyungtaekJecheon,안성jc,ANSUNGJC,,1,456.1538462,473.2307692
58,40,5,PyungtaekJecheon,서안성,SEOANSUNG,542,0,504.1025641,478.8205128
59,40,6,PyungtaekJecheon,남안성,NAMANSUNG,543,0,552.0512821,484.4102564
10,40,7,PyungtaekJecheon,대소jc,DAESOJC,,35,600,490
20,50,1,Youngdong,안산jc,ANSAN,256,15,250,240
21,50,2,Youngdong,둔대,DUNDAE,,0,276.9230769,245.3846154
22,50,3,Youngdong,군포,GUNPO,215,0,303.8461538,250.7692308
23,50,4,Youngdong,동군포,DONGGUNPO,214,0,330.7692308,256.1538462
24,50,5,Youngdong,부곡,BUGOK,213,0,357.6923077,261.5384615
25,50,6,Youngdong,북수원,BUKSUWON,212,0,384.6153846,266.9230769
26,50,7,Youngdong,동수원,DONGSUWON,102,0,411.5384615,272.3076923
27,50,8,Youngdong,광교,GWANGYO,,0,438.4615385,277.6923077
28,50,9,Youngdong,신갈jc,SHINGALJC,,1,465.3846154,283.0769231
29,50,10,Youngdong,마성,MASUNG,171,0,492.3076923,288.4615385
30,50,11,Youngdong,용인,YONGIN,172,0,519.2307692,293.8461538
31,50,12,Youngdong,양지,YANGJI,173,0,546.1538462,299.2307692
32,50,13,Youngdong,덕평,DUKPYEONG,175,0,573.0769231,304.6153846
7,50,14,Youngdong,호법jc,HOBUBJC,,35,600,310
